update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
107,mutant-only,0.183146932,262.3772894,48.05128205,277,0.362475727,262.3796992,95.09774436,273,0.183003591,262.1358025,47.97119342,252
108,mutant-only,0.183085356,262.4892857,48.05357143,284,0.36236045,262.4925373,95.10447761,275,0.18296853,262.1686747,47.96787149,258
109,mutant-only,0.183083926,262.5052632,48.05614035,289,0.362390463,262.4888889,95.11111111,277,0.182971358,262.1666667,47.96825397,261
110,mutant-only,0.183086371,262.5017544,48.05614035,290,0.361734446,262.4833948,94.93726937,278,0.182971358,262.1666667,47.96825397,261
111,mutant-only,0.183093127,262.5087108,48.05923345,291,0.361717121,262.4851852,94.93333333,278,0.182972286,262.1660079,47.96837945,262
112,mutant-only,0.183093519,262.5069444,48.05902778,292,0.361638103,262.5714286,94.94139194,283,0.182975026,262.1640625,47.96875,265
113,mutant-only,0.183102341,262.5238095,48.06462585,298,0.351278464,262.5464286,92.21785714,289,0.182966637,262.1576923,47.96538462,270
114,mutant-only,0.183131978,262.5196078,48.07189542,311,0.325444717,262.5166667,85.43666667,309,0.182972915,262.1535581,47.96629213,277
115,mutant-only,0.182930878,262.425,48.003125,326,0.305036032,262.5362776,80.08832808,326,0.182932141,262.2042254,47.96478873,294
116,mutant-only,0.182948414,262.4159021,48.00611621,336,0.294718532,262.5569231,77.38769231,332,0.182884761,262.2274247,47.95652174,309
117,mutant-only,0.182954629,262.4059701,48.00597015,343,0.293650751,262.5569231,77.09230769,333,0.182857331,262.2532895,47.95394737,312
118,mutant-only,0.182981967,262.5205882,48.03235294,348,0.290681197,262.6360856,76.32721713,334,0.182848494,262.2508143,47.95114007,316
119,mutant-only,0.183006295,262.5323529,48.04117647,349,0.288135324,262.5666667,75.63333333,336,0.182853015,262.2442997,47.95114007,316
120,mutant-only,0.183013354,262.5382353,48.04411765,349,0.279922266,262.5542522,73.47800587,346,0.182854161,262.2435065,47.9512987,317
121,mutant-only,0.183003158,262.5350877,48.04093567,353,0.268433891,262.6128134,70.47075209,365,0.182862097,262.2532051,47.95512821,320
122,mutant-only,0.183007093,262.5367232,48.04237288,365,0.257495431,262.688172,67.62634409,379,0.182869645,262.2476489,47.95611285,327
