update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
286,competion,0.356547962,132.7894737,47.0583524,900,0.328193518,166.4652223,51.77651083,899,0.355749526,132.8872267,47.03337169,900
287,competion,0.356461566,132.7250859,47.05383734,900,0.328882108,166.3857635,51.97244546,899,0.356607454,132.3245413,47.05504587,900
288,competion,0.356531162,132.6693456,47.04707233,900,0.328726436,165.3497706,51.56192661,899,0.356707326,132.1481056,47.04362801,900
289,competion,0.356046447,132.9400231,47.04959631,900,0.327708237,166.3195402,51.63333333,900,0.35720428,131.9094037,47.04816514,900
290,competion,0.356182668,133.0011561,47.06242775,900,0.329264656,166.0309989,51.95407577,900,0.357074788,131.9504037,47.04267589,900
291,competion,0.355701983,133.3390805,47.06091954,900,0.3291308,166.2205543,51.98729792,900,0.356899346,132,47.03244496,900
292,competion,0.355635747,133.3935558,47.06329114,900,0.32844756,166.3801843,51.8640553,900,0.356603937,132.2143685,47.04634994,900
293,competion,0.355695585,133.3406214,47.05638665,900,0.329914502,165.4977064,51.9483945,900,0.356777145,132.0690449,47.03337169,900
294,competion,0.355625065,133.3687861,47.04971098,900,0.330940006,164.4742268,51.8327606,900,0.356799413,132.0505166,47.03099885,900
295,competion,0.355745796,133.2710496,47.05305652,900,0.33169854,164.0492554,51.89117984,900,0.356707399,132.062069,47.02528736,900
296,competion,0.35612744,133.0184332,47.03917051,900,0.331435757,164.1227064,51.83715596,900,0.357131,131.9059633,47.04013761,900
