update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
48,wildtype-only,0.357572823,132.0862069,46.98850575,177,0.248129331,189.6176471,47.01470588,69,0.358614114,131,46.97837838,191
49,wildtype-only,0.357395607,131.9892473,46.94623656,189,0.248129331,189.6176471,47.01470588,69,0.358588284,131,46.975,205
50,wildtype-only,0.357053156,132.1970443,46.96059113,205,0.248826291,188.8873239,47,72,0.3585964,131,46.97607656,216
51,wildtype-only,0.357118577,132.1516588,46.96208531,213,0.248854691,188.8658537,47,85,0.358491872,131,46.96244131,222
52,wildtype-only,0.357111188,132.144186,46.9627907,218,0.24889544,188.8351648,47,95,0.358496526,131.0044248,46.96460177,234
53,wildtype-only,0.35728748,132.0263158,46.95614035,230,0.248925412,188.8125,47,99,0.358465836,131,46.95901639,250
54,wildtype-only,0.357419447,131.9673469,46.96734694,248,0.248925412,188.8125,47,99,0.358448483,131.0117188,46.9609375,263
55,wildtype-only,0.357582982,131.8953488,46.97286822,262,0.248925412,188.8125,47,99,0.357101921,131.973384,46.94296578,271
56,wildtype-only,0.357627901,131.8735632,46.97318008,265,0.24893649,188.8041237,47,100,0.357589122,131.4538745,46.95571956,278
57,wildtype-only,0.3572522,132.0820896,46.97761194,275,0.248939437,188.8018868,47,109,0.357653781,131.419244,46.95532646,299
58,wildtype-only,0.356549399,132.6842105,46.96491228,293,0.249000216,188.7560976,47,125,0.358075459,131.2105263,46.96052632,313
59,wildtype-only,0.356464335,132.7124183,46.96405229,314,0.248675971,189.1085271,47.00775194,132,0.358079545,131.193038,46.9556962,325
60,wildtype-only,0.355906089,133.1835443,46.94936709,323,0.248686156,189.1,47.00769231,133,0.358103189,131.1865443,46.95718654,337
61,wildtype-only,0.355978325,133.1806854,46.96884735,329,0.248686088,189.0992366,47.00763359,133,0.357805871,131.3625731,46.9619883,352
62,wildtype-only,0.356071428,133.0985075,46.97014925,344,0.248695901,189.0902256,47.0075188,135,0.357409388,131.6179775,46.96629213,369
63,wildtype-only,0.355886282,133.1288515,46.96358543,367,0.249063866,188.7080292,47,139,0.35686514,132.1226158,46.96185286,383
