Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
PASCAL POISSON,RENAULT-ELF,114h 18' 04'',+ 00h 53' 41'',1985,4109,24,411484,3221
RAFAËL ACEVEDO PORRAS,CAFÉ DE COLOMBIA-VARTA-MAVIC,114h 18' 35'',+ 00h 54' 12'',1985,4109,24,411515,3252
ALAIN VIGNERON,LA VIE CLAIRE-WONDER-RADAR,114h 20' 08'',+ 00h 55' 45'',1985,4109,24,411608,3345
JOKIN MUJIKA,SEAT-ORBEA,114h 20' 17'',+ 00h 55' 54'',1985,4109,24,411617,3354
BERNARD VALLET,LA VIE CLAIRE-WONDER-RADAR,114h 24' 13'',+ 00h 59' 50'',1985,4109,24,411853,3590
LUDO PEETERS,KWANTUM HALLEN-DECOSOL,114h 26' 18'',+ 01h 01' 55'',1985,4109,24,411978,3715
ROBERTO VISENTINI,CARRERA JEANS-INOXPRAN,114h 27' 31'',+ 01h 03' 08'',1985,4109,24,412051,3788
JORGEN PEDERSEN,CARRERA JEANS-INOXPRAN,114h 30' 05'',+ 01h 05' 42'',1985,4109,24,412205,3942
ADRI VAN DER POEL,KWANTUM HALLEN-DECOSOL,114h 31' 52'',+ 01h 07' 29'',1985,4109,24,412312,4049
JAN WIJNANTS,Tönissteiner - TW Rock - BASF - Humo,114h 32' 26'',+ 01h 08' 03'',1985,4109,24,412346,4083
LAURENT BIONDI,HITACHI-SUNAIR-SPLENDOR,114h 33' 00'',+ 01h 08' 37'',1985,4109,24,412380,4117
PELLO RUIZ-CABESTANY,SEAT-ORBEA,114h 36' 29'',+ 01h 12' 06'',1985,4109,24,412589,4326
JACQUES VAN MEER,SKIL-SEM-KAS-MIKO,114h 37' 04'',+ 01h 12' 41'',1985,4109,24,412624,4361
DENIS ROUX,RENAULT-ELF,114h 38' 49'',+ 01h 14' 26'',1985,4109,24,412729,4466
PHILIPPE CHEVALLIER,RENAULT-ELF,114h 39' 42'',+ 01h 15' 19'',1985,4109,24,412782,4519
HENDRIK DEVOS,HITACHI-SUNAIR-SPLENDOR,114h 40' 55'',+ 01h 16' 32'',1985,4109,24,412855,4592
MARC SERGEANT,LOTTO-EDDY MERCKX-CAMPAGNOLO,114h 43' 33'',+ 01h 19' 10'',1985,4109,24,413013,4750
MARTIN EARLEY,FAGOR,114h 44' 59'',+ 01h 20' 36'',1985,4109,24,413099,4836
GILBERT DUCLOS-LASSALLE,PEUGEOT-SHELL-MICHELIN,114h 45' 19'',+ 01h 20' 56'',1985,4109,24,413119,4856
GONZALO AJA,REYNOLDS-TS BATTERIES,114h 48' 46'',+ 01h 24' 23'',1985,4109,24,413326,5063
LUDWIG WIJNANTS,Tönissteiner - TW Rock - BASF - Humo,114h 48' 59'',+ 01h 24' 36'',1985,4109,24,413339,5076
MARC DURANT,ZOR,114h 49' 30'',+ 01h 25' 07'',1985,4109,24,413370,5107
JEAN-CLAUDE BAGOT,FAGOR,114h 50' 00'',+ 01h 25' 37'',1985,4109,24,413400,5137
HERMAN LOAIZA,CAFÉ DE COLOMBIA-VARTA-MAVIC,114h 51' 05'',+ 01h 26' 42'',1985,4109,24,413465,5202
THIERRY MARIE,RENAULT-ELF,114h 52' 13'',+ 01h 27' 50'',1985,4109,24,413533,5270
YVAN FREBERT,PEUGEOT-SHELL-MICHELIN,114h 55' 14'',+ 01h 30' 51'',1985,4109,24,413714,5451
JEAN-LOUIS GAUTHIER,LA REDOUTE,114h 55' 31'',+ 01h 31' 08'',1985,4109,24,413731,5468
RUDY ROGIERS,HITACHI-SUNAIR-SPLENDOR,114h 58' 01'',+ 01h 33' 38'',1985,4109,24,413881,5618
CHRISTIAN JOURDAN,LA VIE CLAIRE-WONDER-RADAR,114h 58' 54'',+ 01h 34' 31'',1985,4109,24,413934,5671
CARLOS JARAMILLO,CAFÉ DE COLOMBIA-VARTA-MAVIC,115h 03' 15'',+ 01h 38' 52'',1985,4109,24,414195,5932
JOHAN LAMMERTS,PANASONIC-RALEIGH,115h 04' 35'',+ 01h 40' 12'',1985,4109,24,414275,6012
CARLOS HERNANDEZ,REYNOLDS-TS BATTERIES,115h 04' 50'',+ 01h 40' 27'',1985,4109,24,414290,6027
RENÉ BITTINGER,SKIL-SEM-KAS-MIKO,115h 04' 55'',+ 01h 40' 32'',1985,4109,24,414295,6032
JOËL PELIER,SKIL-SEM-KAS-MIKO,115h 07' 56'',+ 01h 43' 33'',1985,4109,24,414476,6213
LÉO VAN VLIET,KWANTUM HALLEN-DECOSOL,115h 08' 33'',+ 01h 44' 10'',1985,4109,24,414513,6250
THÉO DE ROOY,PANASONIC-RALEIGH,115h 12' 45'',+ 01h 48' 22'',1985,4109,24,414765,6502
FRANÇOIS LEMARCHAND,FAGOR,115h 15' 03'',+ 01h 50' 40'',1985,4109,24,414903,6640
HENK LUBBERDING,PANASONIC-RALEIGH,115h 16' 11'',+ 01h 51' 48'',1985,4109,24,414971,6708
ANASTASIO GRECIANO,SEAT-ORBEA,115h 17' 50'',+ 01h 53' 27'',1985,4109,24,415070,6807
MAARTEN DUCROT,KWANTUM HALLEN-DECOSOL,115h 18' 20'',+ 01h 53' 57'',1985,4109,24,415100,6837
JÉSUS HERNANDEZ-UBEDA,REYNOLDS-TS BATTERIES,115h 18' 36'',+ 01h 54' 13'',1985,4109,24,415116,6853
ALAN PEIPER,PEUGEOT-SHELL-MICHELIN,115h 21' 17'',+ 01h 56' 54'',1985,4109,24,415277,7014
ERIC VANDERAERDEN,PANASONIC-RALEIGH,115h 22' 59'',+ 01h 58' 36'',1985,4109,24,415379,7116
ADRI VAN HOUWELINGEN,VERANDALUX-NISSAN-DRIES-ROSSIN,115h 23' 55'',+ 01h 59' 32'',1985,4109,24,415435,7172
CZESLAW LANG,CARRERA JEANS-INOXPRAN,115h 25' 12'',+ 02h 00' 49'',1985,4109,24,415512,7249
PHILIPPE POISSONNIER,SKIL-SEM-KAS-MIKO,115h 25' 13'',+ 02h 00' 50'',1985,4109,24,415513,7250
HENRI MANDERS,KWANTUM HALLEN-DECOSOL,115h 26' 04'',+ 02h 01' 41'',1985,4109,24,415564,7301
PIERRE LE BIGAULT,LA REDOUTE,115h 26' 16'',+ 02h 01' 53'',1985,4109,24,415576,7313
WIM VAN EYNDE,LOTTO-EDDY MERCKX-CAMPAGNOLO,115h 26' 18'',+ 02h 01' 55'',1985,4109,24,415578,7315
IMANOL MURGA,SEAT-ORBEA,115h 26' 36'',+ 02h 02' 13'',1985,4109,24,415596,7333
ELIO FESTA,SANTINI-SELLE ITALIA-CONTI-GALLI,115h 26' 44'',+ 02h 02' 21'',1985,4109,24,415604,7341
MICHEL DERNIES,LOTTO-EDDY MERCKX-CAMPAGNOLO,115h 30' 17'',+ 02h 05' 54'',1985,4109,24,415817,7554
CLAUDIO FASOLO,SANTINI-SELLE ITALIA-CONTI-GALLI,115h 30' 18'',+ 02h 05' 55'',1985,4109,24,415818,7555
HUBERT LINARD,PEUGEOT-SHELL-MICHELIN,115h 31' 20'',+ 02h 06' 57'',1985,4109,24,415880,7617
MARC GOMEZ,LA VIE CLAIRE-WONDER-RADAR,115h 31' 29'',+ 02h 07' 06'',1985,4109,24,415889,7626
RÉGIS SIMON,LA REDOUTE,115h 33' 26'',+ 02h 09' 03'',1985,4109,24,416006,7743
RUDY DHAENENS,HITACHI-SUNAIR-SPLENDOR,115h 33' 46'',+ 02h 09' 23'',1985,4109,24,416026,7763
GUY GALLOPIN,SKIL-SEM-KAS-MIKO,115h 33' 46'',+ 02h 09' 23'',1985,4109,24,416026,7763
ALOIS WOUTERS,Tönissteiner - TW Rock - BASF - Humo,115h 33' 59'',+ 02h 09' 36'',1985,4109,24,416039,7776
JAN VAN HOUWELINGEN,VERANDALUX-NISSAN-DRIES-ROSSIN,115h 34' 53'',+ 02h 10' 30'',1985,4109,24,416093,7830
GIANCARLO PERINI,CARRERA JEANS-INOXPRAN,115h 35' 03'',+ 02h 10' 40'',1985,4109,24,416103,7840
AD WIJNANDS,KWANTUM HALLEN-DECOSOL,115h 35' 31'',+ 02h 11' 08'',1985,4109,24,416131,7868
VICENTE OTIN,SEAT-ORBEA,115h 36' 23'',+ 02h 12' 00'',1985,4109,24,416183,7920
PATRICK TOELEN,HITACHI-SUNAIR-SPLENDOR,115h 36' 44'',+ 02h 12' 21'',1985,4109,24,416204,7941
ANSELMO FUERTE,ZOR,115h 36' 45'',+ 02h 12' 22'',1985,4109,24,416205,7942
GERRIT SOLLEVELD,KWANTUM HALLEN-DECOSOL,115h 36' 55'',+ 02h 12' 32'',1985,4109,24,416215,7952
RUDY PATRY,Tönissteiner - TW Rock - BASF - Humo,115h 41' 09'',+ 02h 16' 46'',1985,4109,24,416469,8206
GUIDO BONTEMPI,CARRERA JEANS-INOXPRAN,115h 41' 38'',+ 02h 17' 15'',1985,4109,24,416498,8235
GUY NULENS,PANASONIC-RALEIGH,115h 44' 03'',+ 02h 19' 40'',1985,4109,24,416643,8380
ERICH MAECHLER,CARRERA JEANS-INOXPRAN,115h 44' 38'',+ 02h 20' 15'',1985,4109,24,416678,8415
JELLE NIJDAM,KWANTUM HALLEN-DECOSOL,115h 46' 02'',+ 02h 21' 39'',1985,4109,24,416762,8499
DOMINIQUE GAIGNE,RENAULT-ELF,115h 47' 46'',+ 02h 23' 23'',1985,4109,24,416866,8603
JEAN-MARIE WAMPERS,HITACHI-SUNAIR-SPLENDOR,115h 49' 22'',+ 02h 24' 59'',1985,4109,24,416962,8699
NESTOR MORA,CAFÉ DE COLOMBIA-VARTA-MAVIC,115h 52' 44'',+ 02h 28' 21'',1985,4109,24,417164,8901
FERDI VAN DEN HAUTE,LA REDOUTE,115h 53' 17'',+ 02h 28' 54'',1985,4109,24,417197,8934
BERTRAM SEGER,Tönissteiner - TW Rock - BASF - Humo,116h 00' 48'',+ 02h 36' 25'',1985,4109,24,417648,9385
ALAIN BONDUE,LA REDOUTE,116h 01' 29'',+ 02h 37' 06'',1985,4109,24,417689,9426
SEAN YATES,PEUGEOT-SHELL-MICHELIN,116h 01' 59'',+ 02h 37' 36'',1985,4109,24,417719,9456
ANDRÉ LURQUIN,Tönissteiner - TW Rock - BASF - Humo,116h 02' 27'',+ 02h 38' 04'',1985,4109,24,417747,9484
JOS JACOBS,VERANDALUX-NISSAN-DRIES-ROSSIN,116h 03' 17'',+ 02h 38' 54'',1985,4109,24,417797,9534
JOSÉ DEL RAMO,SEAT-ORBEA,116h 04' 03'',+ 02h 39' 40'',1985,4109,24,417843,9580
LUDO DE KEULENAER,PANASONIC-RALEIGH,116h 04' 15'',+ 02h 39' 52'',1985,4109,24,417855,9592
ERIC McKENZIE,LOTTO-EDDY MERCKX-CAMPAGNOLO,116h 05' 04'',+ 02h 40' 41'',1985,4109,24,417904,9641
JOSÉ-SALVADOR SANCHIS,SEAT-ORBEA,116h 06' 01'',+ 02h 41' 38'',1985,4109,24,417961,9698
BENNY VAN BRABANT,Tönissteiner - TW Rock - BASF - Humo,116h 12' 38'',+ 02h 48' 15'',1985,4109,24,418358,10095
JOS LIECKENS,LOTTO-EDDY MERCKX-CAMPAGNOLO,116h 12' 38'',+ 02h 48' 15'',1985,4109,24,418358,10095
ETIENNE DE BEULE,VERANDALUX-NISSAN-DRIES-ROSSIN,116h 15' 41'',+ 02h 51' 18'',1985,4109,24,418541,10278
FRANCIS CASTAING,PEUGEOT-SHELL-MICHELIN,116h 21' 31'',+ 02h 57' 08'',1985,4109,24,418891,10628
MICHEL BIBOLLET,FAGOR,116h 24' 52'',+ 03h 00' 29'',1985,4109,24,419092,10829
RUDY MATTHIJS,HITACHI-SUNAIR-SPLENDOR,116h 27' 36'',+ 03h 03' 13'',1985,4109,24,419256,10993
JAN BAEYENS,LOTTO-EDDY MERCKX-CAMPAGNOLO,116h 33' 59'',+ 03h 09' 36'',1985,4109,24,419639,11376
JAN BOGAERT,VERANDALUX-NISSAN-DRIES-ROSSIN,116h 35' 58'',+ 03h 11' 35'',1985,4109,24,419758,11495
PHILIPPE LAURAIRE,FAGOR,116h 39' 23'',+ 03h 15' 00'',1985,4109,24,419963,11700
GIULIANO PAVANELLO,SANTINI-SELLE ITALIA-CONTI-GALLI,116h 41' 03'',+ 03h 16' 40'',1985,4109,24,420063,11800
PETER PIETERS,ZOR,116h 50' 07'',+ 03h 25' 44'',1985,4109,24,420607,12344
PAUL SHERWEN,LA REDOUTE,116h 52' 36'',+ 03h 28' 13'',1985,4109,24,420756,12493
PATRICK ONNOCKX,LOTTO-EDDY MERCKX-CAMPAGNOLO,116h 53' 48'',+ 03h 29' 25'',1985,4109,24,420828,12565
ROBERTO BRESSAN,SANTINI-SELLE ITALIA-CONTI-GALLI,117h 09' 43'',+ 03h 45' 20'',1985,4109,24,421783,13520
MANRICO RONCHIATO,SANTINI-SELLE ITALIA-CONTI-GALLI,117h 38' 11'',+ 04h 13' 48'',1985,4109,24,423491,15228
GREG LEMOND,LA VIE CLAIRE-WONDER-RADAR,110h 35' 19'',-,1986,4094,24,398119,0
BERNARD HINAULT,LA VIE CLAIRE-WONDER-RADAR,110h 38' 29'',+ 00h 03' 10'',1986,4094,24,398309,190
URS ZIMMERMANN,CARRERA JEANS,110h 46' 13'',+ 00h 10' 54'',1986,4094,24,398773,654
ANDREW ''ANDY'' HAMPSTEN,LA VIE CLAIRE-WONDER-RADAR,110h 54' 03'',+ 00h 18' 44'',1986,4094,24,399243,1124
ERIC CARITOUX,FAGOR,110h 59' 55'',+ 00h 24' 36'',1986,4094,24,399595,1476
RONAN PENSEC,PEUGEOT-SHELL,111h 01' 18'',+ 00h 25' 59'',1986,4094,24,399678,1559
NIKI RUTTIMAN,LA VIE CLAIRE-WONDER-RADAR,111h 06' 11'',+ 00h 30' 52'',1986,4094,24,399971,1852
ALVARO PINO,ZOR-BH,111h 08' 19'',+ 00h 33' 00'',1986,4094,24,400099,1980
STEVEN ROOKS,PDM,111h 08' 41'',+ 00h 33' 22'',1986,4094,24,400121,2002
YVON MADIOT,SYSTEME U,111h 08' 46'',+ 00h 33' 27'',1986,4094,24,400126,2007
SAMUEL CABRERA,REYNOLDS-TS BATTERIES,111h 10' 47'',+ 00h 35' 28'',1986,4094,24,400247,2128
JEAN-FRANÇOIS BERNARD,LA VIE CLAIRE-WONDER-RADAR,111h 11' 04'',+ 00h 35' 45'',1986,4094,24,400264,2145
PASCAL SIMON,PEUGEOT-SHELL,111h 13' 03'',+ 00h 37' 44'',1986,4094,24,400383,2264
EDUARDO CHOZAS OLMO,TEKA,111h 14' 07'',+ 00h 38' 48'',1986,4094,24,400447,2328
REYNEL MONTOYA,POSTOBON,111h 20' 55'',+ 00h 45' 36'',1986,4094,24,400855,2736
CHARLY MOTTET,SYSTEME U,111h 21' 17'',+ 00h 45' 58'',1986,4094,24,400877,2758
THIERRY CLAVEYROLAT,RMO-MERAL-MAVIC,111h 21' 19'',+ 00h 46' 00'',1986,4094,24,400879,2760
MARINO LEJARETTA,SEAT-ORBEA,111h 24' 28'',+ 00h 49' 09'',1986,4094,24,401068,2949
JEAN-CLAUDE BAGOT,FAGOR,111h 26' 57'',+ 00h 51' 38'',1986,4094,24,401217,3098
PATROCINIO JIMENEZ,CAFÉ DE COLOMBIA-PILAS VARTA,111h 31' 01'',+ 00h 55' 42'',1986,4094,24,401461,3342
LUIS ''LUCHO'' HERRERA,CAFÉ DE COLOMBIA-PILAS VARTA,111h 31' 19'',+ 00h 56' 00'',1986,4094,24,401479,3360
STEVE BAUER,LA VIE CLAIRE-WONDER-RADAR,111h 31' 21'',+ 00h 56' 02'',1986,4094,24,401481,3362
JOOP ZOETEMELK,KWANTUM HALLEN-DECOSOL,111h 32' 23'',+ 00h 57' 04'',1986,4094,24,401543,3424
JÉSUS BLANCO-VILLAR,TEKA,111h 38' 35'',+ 01h 03' 16'',1986,4094,24,401915,3796
JEAN-RENÉ BERNAUDEAU,FAGOR,111h 39' 15'',+ 01h 03' 56'',1986,4094,24,401955,3836
ALFONSO FLORES,CAFÉ DE COLOMBIA-PILAS VARTA,111h 41' 13'',+ 01h 05' 54'',1986,4094,24,402073,3954
BERNARD GAVILLET,SYSTEME U,111h 43' 36'',+ 01h 08' 17'',1986,4094,24,402216,4097
PETER STEVENHAAGEN,PDM,111h 45' 59'',+ 01h 10' 40'',1986,4094,24,402359,4240
JOKIN MUJIKA,SEAT-ORBEA,111h 46' 20'',+ 01h 11' 01'',1986,4094,24,402380,4261
ANSELMO FUERTE,ZOR-BH,111h 47' 32'',+ 01h 12' 13'',1986,4094,24,402452,4333
PRIMOZ CERIN,MALVOR-BOTTECCHIA-SIDI,111h 49' 59'',+ 01h 14' 40'',1986,4094,24,402599,4480
JOSÉ ANTONIO AGUDELO GOMEZ,TEKA,111h 50' 32'',+ 01h 15' 13'',1986,4094,24,402632,4513
DAG OTTO LAURITZEN,PEUGEOT-SHELL,111h 51' 06'',+ 01h 15' 47'',1986,4094,24,402666,4547
ROBERT FOREST,PEUGEOT-SHELL,111h 51' 38'',+ 01h 16' 19'',1986,4094,24,402698,4579
PELLO RUIZ-CABESTANY,SEAT-ORBEA,111h 51' 41'',+ 01h 16' 22'',1986,4094,24,402701,4582
EDDY SCHEPERS,CARRERA JEANS,111h 53' 39'',+ 01h 18' 20'',1986,4094,24,402819,4700
FEDERICO ECHAVE,TEKA,111h 54' 12'',+ 01h 18' 53'',1986,4094,24,402852,4733
PHIL ANDERSON,PANASONIC,111h 55' 00'',+ 01h 19' 41'',1986,4094,24,402900,4781
JÉSUS RODRIGUEZ-MAGRO,ZOR-BH,111h 55' 28'',+ 01h 20' 09'',1986,4094,24,402928,4809
SILVANO CONTINI,GIS-GELATI,111h 57' 37'',+ 01h 22' 18'',1986,4094,24,403057,4938
MARTIN RAMIREZ,FAGOR,111h 57' 45'',+ 01h 22' 26'',1986,4094,24,403065,4946
HENDRIK DEVOS,HITACHI-MARC-SPLENDOR,112h 00' 02'',+ 01h 24' 43'',1986,4094,24,403202,5083
CHARLY BERARD,LA VIE CLAIRE-WONDER-RADAR,112h 04' 21'',+ 01h 29' 02'',1986,4094,24,403461,5342
DOMINIQUE GARDE,KAS-MAVIC,112h 04' 30'',+ 01h 29' 11'',1986,4094,24,403470,5351
MARTIN EARLEY,FAGOR,112h 05' 49'',+ 01h 30' 30'',1986,4094,24,403549,5430
GILLES MAS,RMO-MERAL-MAVIC,112h 07' 15'',+ 01h 31' 56'',1986,4094,24,403635,5516
STEPHEN ROCHE,CARRERA JEANS,112h 07' 49'',+ 01h 32' 30'',1986,4094,24,403669,5550
ERICH MAECHLER,CARRERA JEANS,112h 08' 04'',+ 01h 32' 45'',1986,4094,24,403684,5565
HERIBERTO Uran,POSTOBON,112h 11' 54'',+ 01h 36' 35'',1986,4094,24,403914,5795
JAN NEVENS,JOKER-EMERXIL-EDDY MERCKX,112h 12' 34'',+ 01h 37' 15'',1986,4094,24,403954,5835
JOHAN VAN DER VELDE,PANASONIC,112h 13' 14'',+ 01h 37' 55'',1986,4094,24,403994,5875
CARLOS HERNANDEZ,REYNOLDS-TS BATTERIES,112h 13' 32'',+ 01h 38' 13'',1986,4094,24,404012,5893
GUY NULENS,PANASONIC,112h 14' 27'',+ 01h 39' 08'',1986,4094,24,404067,5948
CARLOS JARAMILLO,POSTOBON,112h 15' 07'',+ 01h 39' 48'',1986,4094,24,404107,5988
JEAN-CLAUDE LECLERCQ,KAS-MAVIC,112h 16' 02'',+ 01h 40' 43'',1986,4094,24,404162,6043
JEAN-CLAUDE GARDE,KAS-MAVIC,112h 16' 16'',+ 01h 40' 57'',1986,4094,24,404176,6057
JEAN-PHILIPPE VANDENBRANDE,HITACHI-MARC-SPLENDOR,112h 16' 42'',+ 01h 41' 23'',1986,4094,24,404202,6083
JUAN-CARLOS ROZAS,ZOR-BH,112h 17' 10'',+ 01h 41' 51'',1986,4094,24,404230,6111
ENRIQUE ALBERTO AJA CAGIGAS,TEKA,112h 17' 51'',+ 01h 42' 32'',1986,4094,24,404271,6152
GÉRARD VELDSCHOLTEN,PDM,112h 18' 16'',+ 01h 42' 57'',1986,4094,24,404296,6177
BERNARD VALLET,RMO-MERAL-MAVIC,112h 18' 31'',+ 01h 43' 12'',1986,4094,24,404311,6192
BOB ROLL,SEVEN ELEVEN-HOONVED,112h 18' 45'',+ 01h 43' 26'',1986,4094,24,404325,6206
DIRK DE WOLF,HITACHI-MARC-SPLENDOR,112h 19' 36'',+ 01h 44' 17'',1986,4094,24,404376,6257
TWAN POELS,KWANTUM HALLEN-DECOSOL,112h 19' 36'',+ 01h 44' 17'',1986,4094,24,404376,6257
ENNIO VANOTTI,GIS-GELATI,112h 20' 39'',+ 01h 45' 20'',1986,4094,24,404439,6320
PAUL HAGHEDOOREN,JOKER-EMERXIL-EDDY MERCKX,112h 23' 18'',+ 01h 47' 59'',1986,4094,24,404598,6479
FRANÇOIS LEMARCHAND,FAGOR,112h 24' 24'',+ 01h 49' 05'',1986,4094,24,404664,6545
LUDO PEETERS,KWANTUM HALLEN-DECOSOL,112h 24' 30'',+ 01h 49' 11'',1986,4094,24,404670,6551
NICO EMONDS,KWANTUM HALLEN-DECOSOL,112h 24' 38'',+ 01h 49' 19'',1986,4094,24,404678,6559
MANUEL CARDENAS ESPEITIA,TEKA,112h 25' 30'',+ 01h 50' 11'',1986,4094,24,404730,6611
GUIDO VAN CALSTER,ZOR-BH,112h 26' 01'',+ 01h 50' 42'',1986,4094,24,404761,6642
BRUNO LEALI,CARRERA JEANS,112h 27' 08'',+ 01h 51' 49'',1986,4094,24,404828,6709
BEAT BREU,CARRERA JEANS,112h 27' 13'',+ 01h 51' 54'',1986,4094,24,404833,6714
INAKI GASTON,KAS-MAVIC,112h 27' 54'',+ 01h 52' 35'',1986,4094,24,404874,6755
DOMINIQUE ARNAUD,REYNOLDS-TS BATTERIES,112h 29' 13'',+ 01h 53' 54'',1986,4094,24,404953,6834
JORGEN PEDERSEN,CARRERA JEANS,112h 29' 51'',+ 01h 54' 32'',1986,4094,24,404991,6872
JOS HAEX,HITACHI-MARC-SPLENDOR,112h 29' 57'',+ 01h 54' 38'',1986,4094,24,404997,6878
JULIAN GOROSPE,REYNOLDS-TS BATTERIES,112h 31' 30'',+ 01h 56' 11'',1986,4094,24,405090,6971
JEFF PIERCE,SEVEN ELEVEN-HOONVED,112h 32' 16'',+ 01h 56' 57'',1986,4094,24,405136,7017
MAARTEN DUCROT,KWANTUM HALLEN-DECOSOL,112h 33' 21'',+ 01h 58' 02'',1986,4094,24,405201,7082
ACACIO DA SILVA,MALVOR-BOTTECCHIA-SIDI,112h 33' 24'',+ 01h 58' 05'',1986,4094,24,405204,7085
NESTOR MORA,POSTOBON,112h 33' 45'',+ 01h 58' 26'',1986,4094,24,405225,7106
GERRIE KNETEMANN,PDM,112h 33' 47'',+ 01h 58' 28'',1986,4094,24,405227,7108
DOMINIQUE GAIGNE,SYSTEME U,112h 34' 46'',+ 01h 59' 27'',1986,4094,24,405286,7167
MARCO-ANTONIO LEON,CAFÉ DE COLOMBIA-PILAS VARTA,112h 36' 08'',+ 02h 00' 49'',1986,4094,24,405368,7249
VICENTE RIDAURA,SEAT-ORBEA,112h 36' 18'',+ 02h 00' 59'',1986,4094,24,405378,7259
CHRISTOPHE LAVAINNE,SYSTEME U,112h 36' 19'',+ 02h 01' 00'',1986,4094,24,405379,7260
ERIC VAN LANCKER,PANASONIC,112h 37' 12'',+ 02h 01' 53'',1986,4094,24,405432,7313
JAN VAN WIJK,PDM,112h 37' 54'',+ 02h 02' 35'',1986,4094,24,405474,7355
ALESSANDRO POZZI,GIS-GELATI,112h 38' 58'',+ 02h 03' 39'',1986,4094,24,405538,7419
GUIDO BONTEMPI,CARRERA JEANS,112h 38' 58'',+ 02h 03' 39'',1986,4094,24,405538,7419
RÉGIS SIMON,RMO-MERAL-MAVIC,112h 40' 25'',+ 02h 05' 06'',1986,4094,24,405625,7506
FRANCISCO-JOSÉ ANTEQUERA,ZOR-BH,112h 40' 27'',+ 02h 05' 08'',1986,4094,24,405627,7508
ALAIN VIGNERON,LA VIE CLAIRE-WONDER-RADAR,112h 40' 27'',+ 02h 05' 08'',1986,4094,24,405627,7508
RON KIEFEL,SEVEN ELEVEN-HOONVED,112h 41' 57'',+ 02h 06' 38'',1986,4094,24,405717,7598
PHILIPPE LELEU,LA VIE CLAIRE-WONDER-RADAR,112h 42' 22'',+ 02h 07' 03'',1986,4094,24,405742,7623
ERIC BOYER,SYSTEME U,112h 42' 46'',+ 02h 07' 27'',1986,4094,24,405766,7647
JÖRG MULLER,KAS-MAVIC,112h 43' 05'',+ 02h 07' 46'',1986,4094,24,405785,7666
FRÉDÉRIC VICHOT,KAS-MAVIC,112h 43' 34'',+ 02h 08' 15'',1986,4094,24,405814,7695
GERRIT SOLLEVELD,KWANTUM HALLEN-DECOSOL,112h 44' 19'',+ 02h 09' 00'',1986,4094,24,405859,7740
WIM VAN EYNDE,JOKER-EMERXIL-EDDY MERCKX,112h 46' 05'',+ 02h 10' 46'',1986,4094,24,405965,7846
LUC ROOSEN,KWANTUM HALLEN-DECOSOL,112h 46' 07'',+ 02h 10' 48'',1986,4094,24,405967,7848
RUDY ROGIERS,HITACHI-MARC-SPLENDOR,112h 46' 28'',+ 02h 11' 09'',1986,4094,24,405988,7869
JAN WIJNANTS,HITACHI-MARC-SPLENDOR,112h 46' 33'',+ 02h 11' 14'',1986,4094,24,405993,7874
ISRAËL CORREDOR,POSTOBON,112h 47' 23'',+ 02h 12' 04'',1986,4094,24,406043,7924
FRÉDERIC BRUN,PEUGEOT-SHELL,112h 48' 30'',+ 02h 13' 11'',1986,4094,24,406110,7991
THIERRY MARIE,SYSTEME U,112h 48' 43'',+ 02h 13' 24'',1986,4094,24,406123,8004
FRANCESCO ROSSIGNOLI,CARRERA JEANS,112h 49' 15'',+ 02h 13' 56'',1986,4094,24,406155,8036
ADRI VAN DER POEL,KWANTUM HALLEN-DECOSOL,112h 49' 39'',+ 02h 14' 20'',1986,4094,24,406179,8060
ERIC LOUVEL,PEUGEOT-SHELL,112h 50' 00'',+ 02h 14' 41'',1986,4094,24,406200,8081
SEAN YATES,PEUGEOT-SHELL,112h 50' 39'',+ 02h 15' 20'',1986,4094,24,406239,8120
MICHEL DERNIES,JOKER-EMERXIL-EDDY MERCKX,112h 50' 48'',+ 02h 15' 29'',1986,4094,24,406248,8129
RAÚL ALCALÁ,SEVEN ELEVEN-HOONVED,112h 51' 12'',+ 02h 15' 53'',1986,4094,24,406272,8153
JAIME VILAMAJO,SEAT-ORBEA,112h 52' 00'',+ 02h 16' 41'',1986,4094,24,406320,8201
FRANK HOSTE,FAGOR,112h 52' 25'',+ 02h 17' 06'',1986,4094,24,406345,8226
JÉSUS HERNANDEZ-UBEDA,REYNOLDS-TS BATTERIES,112h 52' 45'',+ 02h 17' 26'',1986,4094,24,406365,8246
ANDRÉ CHAPPUIS,RMO-MERAL-MAVIC,112h 52' 55'',+ 02h 17' 36'',1986,4094,24,406375,8256
JEAN-LUC VANDENBROUCKE,KAS-MAVIC,112h 53' 17'',+ 02h 17' 58'',1986,4094,24,406397,8278
ALEX STIEDA,SEVEN ELEVEN-HOONVED,112h 55' 06'',+ 02h 19' 47'',1986,4094,24,406506,8387
JOSÉ-LUIS LAGUIA,REYNOLDS-TS BATTERIES,112h 55' 07'',+ 02h 19' 48'',1986,4094,24,406507,8388
RUDY DHAENENS,HITACHI-MARC-SPLENDOR,112h 55' 17'',+ 02h 19' 58'',1986,4094,24,406517,8398
MARC GOMEZ,REYNOLDS-TS BATTERIES,112h 56' 32'',+ 02h 21' 13'',1986,4094,24,406592,8473
ALAIN BONDUE,SYSTEME U,112h 57' 22'',+ 02h 22' 03'',1986,4094,24,406642,8523
